season,match_day,date,home_team,away_team,result
2017-2018,1,"Friday 18 August
21:30 GMT+3",FC Bayern München,Bayer 04 Leverkusen,3-1
2017-2018,2,"Friday 25 August
21:30 GMT+3",1. FC Köln,Hamburger SV,1-3
2017-2018,3,"Friday 8 September
21:30 GMT+3",Hamburger SV,RB Leipzig,0-2
2017-2018,4,"Friday 15 September
21:30 GMT+3",Hannover 96,Hamburger SV,2-0
2017-2018,5,"Tuesday 19 September
19:30 GMT+3",Borussia Mönchengladbach,VfB Stuttgart,2-0
2017-2018,6,"Friday 22 September
21:30 GMT+3",FC Bayern München,VfL Wolfsburg,2-2
2017-2018,7,"Friday 29 September
21:30 GMT+3",FC Schalke 04,Bayer 04 Leverkusen,1-1
2017-2018,8,"Friday 13 October
21:30 GMT+3",VfB Stuttgart,1. FC Köln,2-1
2017-2018,9,"Friday 20 October
21:30 GMT+3",FC Schalke 04,1. FSV Mainz 05,2-0
2017-2018,10,"Friday 27 October
21:30 GMT+3",1. FSV Mainz 05,Eintracht Frankfurt,1-1
2017-2018,11,"Friday 3 November
22:30 GMT+3",Eintracht Frankfurt,SV Werder Bremen,2-1
2017-2018,12,"Friday 17 November
22:30 GMT+3",VfB Stuttgart,Borussia Dortmund,2-1
2017-2018,13,"Friday 24 November
22:30 GMT+3",Hannover 96,VfB Stuttgart,1-1
2017-2018,14,"Friday 1 December
22:30 GMT+3",SC Freiburg,Hamburger SV,0-0
2017-2018,15,"Friday 8 December
22:30 GMT+3",VfB Stuttgart,Bayer 04 Leverkusen,0-2
2017-2018,16,"Tuesday 12 December
20:30 GMT+3",VfL Wolfsburg,RB Leipzig,1-1
2017-2018,17,"Friday 15 December
22:30 GMT+3",Borussia Mönchengladbach,Hamburger SV,3-1
2017-2018,18,"Friday 12 January
22:30 GMT+3",Bayer 04 Leverkusen,FC Bayern München,1-3
2017-2018,19,"Friday 19 January
22:30 GMT+3",Hertha BSC,Borussia Dortmund,1-1
2017-2018,20,"Friday 26 January
22:30 GMT+3",Eintracht Frankfurt,Borussia Mönchengladbach,2-0
2017-2018,21,"Friday 2 February
22:30 GMT+3",1. FC Köln,Borussia Dortmund,2-3
2017-2018,22,"Friday 9 February
22:30 GMT+3",RB Leipzig,FC Augsburg,2-0
2017-2018,23,"Friday 16 February
22:30 GMT+3",Hertha BSC,1. FSV Mainz 05,0-2
2017-2018,24,"Friday 23 February
22:30 GMT+3",1. FSV Mainz 05,VfL Wolfsburg,1-1
2017-2018,25,"Friday 2 March
22:30 GMT+3",Borussia Mönchengladbach,SV Werder Bremen,2-2
2017-2018,26,"Friday 9 March
22:30 GMT+3",1. FSV Mainz 05,FC Schalke 04,0-1
2017-2018,27,"Friday 16 March
22:30 GMT+3",SC Freiburg,VfB Stuttgart,1-2
2017-2018,28,"Saturday 31 March
16:30 GMT+3",VfB Stuttgart,Hamburger SV,1-1
2017-2018,29,"Friday 6 April
21:30 GMT+3",Hannover 96,SV Werder Bremen,2-1
2017-2018,30,"Friday 13 April
21:30 GMT+3",VfL Wolfsburg,FC Augsburg,0-0
2017-2018,31,"Friday 20 April
21:30 GMT+3",Borussia Mönchengladbach,VfL Wolfsburg,3-0
2017-2018,32,"Friday 27 April
21:30 GMT+3",TSG Hoffenheim,Hannover 96,3-1
2017-2018,33,"Saturday 5 May
16:30 GMT+3",VfB Stuttgart,TSG Hoffenheim,2-0
2017-2018,34,"Saturday 12 May
16:30 GMT+3",VfL Wolfsburg,1. FC Köln,4-1
2018-2019,1,"Friday 24 August
21:30 GMT+3",FC Bayern München,TSG Hoffenheim,3-1
2018-2019,2,"Friday 31 August
21:30 GMT+3",Hannover 96,Borussia Dortmund,0-0
2018-2019,3,"Friday 14 September
21:30 GMT+3",Borussia Dortmund,Eintracht Frankfurt,3-1
2018-2019,4,"Friday 21 September
21:30 GMT+3",VfB Stuttgart,Fortuna Düsseldorf,0-0
2018-2019,5,"Tuesday 25 September
19:30 GMT+3",SV Werder Bremen,Hertha BSC,3-1
2018-2019,6,"Friday 28 September
21:30 GMT+3",Hertha BSC,FC Bayern München,2-0
2018-2019,7,"Friday 5 October
21:30 GMT+3",SV Werder Bremen,VfL Wolfsburg,2-0
2018-2019,8,"Friday 19 October
21:30 GMT+3",Eintracht Frankfurt,Fortuna Düsseldorf,7-1
2018-2019,9,"Friday 26 October
21:30 GMT+3",Sport-Club Freiburg,Borussia Mönchengladbach,3-1
2018-2019,10,"Friday 2 November
22:30 GMT+3",VfB Stuttgart,Eintracht Frankfurt,0-3
2018-2019,11,"Friday 9 November
22:30 GMT+3",Hannover 96,VfL Wolfsburg,2-1
2018-2019,12,"Friday 23 November
22:30 GMT+3",Bayer 04 Leverkusen,VfB Stuttgart,2-0
2018-2019,13,"Friday 30 November
22:30 GMT+3",Fortuna Düsseldorf,1. FSV Mainz 05,0-1
2018-2019,14,"Friday 7 December
22:30 GMT+3",SV Werder Bremen,Fortuna Düsseldorf,3-1
2018-2019,15,"Friday 14 December
22:30 GMT+3",1. FC Nürnberg,VfL Wolfsburg,0-2
2018-2019,16,"Tuesday 18 December
20:30 GMT+3",Borussia Mönchengladbach,1. FC Nürnberg,2-0
2018-2019,17,"Friday 21 December
22:30 GMT+3",Borussia Dortmund,Borussia Mönchengladbach,2-1
2018-2019,18,"Friday 18 January
22:30 GMT+3",TSG Hoffenheim,FC Bayern München,1-3
2018-2019,19,"Friday 25 January
22:30 GMT+3",Hertha BSC,FC Schalke 04,2-2
2018-2019,20,"Friday 1 February
22:30 GMT+3",Hannover 96,RB Leipzig,0-3
2018-2019,21,"Friday 8 February
22:30 GMT+3",1. FSV Mainz 05,Bayer 04 Leverkusen,1-5
2018-2019,22,"Friday 15 February
22:30 GMT+3",FC Augsburg,FC Bayern München,2-3
2018-2019,23,"Friday 22 February
22:30 GMT+3",SV Werder Bremen,VfB Stuttgart,1-1
2018-2019,24,"Friday 1 March
22:30 GMT+3",FC Augsburg,Borussia Dortmund,2-1
2018-2019,25,"Friday 8 March
22:30 GMT+3",SV Werder Bremen,FC Schalke 04,4-2
2018-2019,26,"Friday 15 March
22:30 GMT+3",Borussia Mönchengladbach,Sport-Club Freiburg,1-1
2018-2019,27,"Friday 29 March
22:30 GMT+3",TSG Hoffenheim,Bayer 04 Leverkusen,4-1
2018-2019,28,"Friday 5 April
21:30 GMT+3",1. FSV Mainz 05,Sport-Club Freiburg,5-0
2018-2019,29,"Friday 12 April
21:30 GMT+3",1. FC Nürnberg,FC Schalke 04,1-1
2018-2019,30,"Saturday 20 April
16:30 GMT+3",1. FSV Mainz 05,Fortuna Düsseldorf,3-1
2018-2019,31,"Friday 26 April
21:30 GMT+3",FC Augsburg,Bayer 04 Leverkusen,1-4
2018-2019,32,"Friday 3 May
21:30 GMT+3",1. FSV Mainz 05,RB Leipzig,3-3
2018-2019,33,"Saturday 11 May
16:30 GMT+3",1. FC Nürnberg,Borussia Mönchengladbach,0-4
2018-2019,34,"Saturday 18 May
16:30 GMT+3",Fortuna Düsseldorf,Hannover 96,2-1
